level,topic,label
6,S2-4,Disclosure of general and specific approaches to addressing material negative impacts
6,S2-4,Disclosure of initiatives aimed at contributing to additional material positive impacts
6,S2-4,Disclosure of how far undertaking has progressed in efforts during reporting period
6,S2-4,Disclosure of aims for continued improvement
6,S2-4,Description of what action is planned or underway to mitigate material risks arising from impacts and dependencies on own workforce / value chain workers / affected communities / consumers and end-users and how effectiveness is tracked
6,S2-4,Description of what action is planned or underway to pursue material opportunities in relation to own workforce / value chain workers / affected communities / consumers and end-users
6,S2-4,Disclosure of severe human rights issues and incidents connected to upstream and downstream value chain / affected communities / consumers and end-users that have been reported
4,S2-4,Disclosure of key action
4,S2-4,Disclosure of expected outcomes of key action and how its implementation contributes to achievement of policy objectives and targets
4,S2-4,Description of scope of key action
6,S2-4,Disclosure of how action to provide or enable remedy in relation to actual material impact on own workforce / value chain workers / affected communities / consumers and end-users has been taken
4,S2-4,Disclosure of quantitative and qualitative information regarding progress of actions or action plans disclosed in prior periods
4,S2-4,Disclosure of significant operational expenditures (Opex) and (or) capital expenditures (Capex) required for implementation of action plan
5,S2-4,Description of type of current and future financial and other resources allocated to action plan
5,S2-4,Explanation of how current financial resources relate to most relevant amounts presented in financial statements
4,S2-5,Disclosure of time-bound and outcome-oriented targets
5,S2-5,Disclosure of process for setting time-bound and outcome-oriented targets
7,S2-5,"Disclosure of how value chain workers / affected communities / consumers and end-users, their legitimate representatives or credible proxies were engaged directly in setting targets"
7,S2-5,"Disclosure of how value chain workers / affected communities / consumers and end-users, their legitimate representatives or credible proxies were engaged directly in tracking performance against targets"
7,S2-5,"Disclosure of how value chain workers / affected communities / consumers and end-users, their legitimate representatives or credible proxies were engaged directly in identifying lessons or improvements as result of undertaking's performance"
4,S2-5,Disclosure of measurable outcome-oriented and time-bound target
5,S2-5,Description of scope of target
5,S2-5,Indication of milestones or interim targets
5,S2-5,Description of methodologies and significant assumptions used to define target
6,S2-5,Disclosure of how stakeholders have been involved in target setting
5,S2-5,"Description of any changes in target and corresponding metrics or underlying measurement methodologies, significant assumptions, limitations, sources and adopted processes to collect data"
5,S2-5,Description of performance against disclosed target
5,S2-5,Disclosure of intended outcomes to be achieved in lives of people in own workforce / value chain workers / affected communities / consumers and end-users
5,S2-5,Disclosure of stability of target over time in terms of definitions and methodologies to enable comparability
5,S2-5,Disclosure of standards or commitments on which target is based
6,S2-5,Disclosure of timeframe for setting of measurable outcome-oriented targets
5,S2-5,Description of reasons why there are no plans to set measurable outcome-oriented targets
6,S2-5,"Description of processes through which effectiveness of policies and actions is tracked in relation to material sustainability-related impact, risk and opportunity"
6,S2-5,Description of defined level of ambition to be achieved and of any qualitative or quantitative indicators used to evaluate progress
2,S3.SBM-3,"Disclosure of material impacts, risks and opportunities and how they interact with strategy and business model"
5,S3.SBM-3,Description of material impacts resulting from materiality assessment
7,S3.SBM-3,Disclosure of how actual and potential impacts on own workforce / value chain workers / affected communities / consumers and end-users originate from or are connected to strategy and business models
7,S3.SBM-3,Disclosure of how actual and potential impacts on own workforce / value chain workers / affected communities / consumers and end-users inform and contribute to adapting strategy and business model
7,S3.SBM-3,Description of types of employees and non-employees in own workforce / value chain workers / affected communities / consumers and end-users subject to material impacts
9,S3.SBM-3,"Disclosure of how understanding of how affected communities with particular characteristics, living in particular contexts, or undertaking particular activities may be at greater risk of harm has been developed"
7,S3.SBM-3,Description of activities that result in positive impacts and types of employees and non-employees in own workforce / value chain workers / affected communities / consumers and end-users that are positively affected or could be positively affected
7,S3.SBM-3,Disclosure of specific countries or regions where positive impacts for own workforce / value chain workers / affected communities / consumers and end-users occur
5,S3.SBM-3,Description of material risks and (or) opportunities resulting from materiality assessment
6,S3.SBM-3,Disclosure of relationship between material risks and opportunities arising from impacts and dependencies on own workforce / value chain workers / affected communities / consumers and end-users and strategy and business model
4,S3-1,"Disclosure of policies adopted to manage material impacts on own workforce / value chain workers / affected communities / consumers and end-users, as well as associated material risks and opportunities"
5,S3-1,Description of relevant human rights policy commitments
6,S3-1,"Description of processes and mechanisms to monitor compliance with UN Guiding Principles on Business and Human Rights, ILO Declaration on Fundamental Principles and Rights at Work and OECD Guidelines for Multinational Enterprises"
6,S3-1,"Disclosure of matters that are material in relation to, as well as general approach to respect for human rights of communities and indigenous peoples"
6,S3-1,"Disclosure of matters that are material in relation to, as well as general approach to engagement with people in own workforce / value chain workers / affected communities / consumers and end-users"
6,S3-1,"Disclosure of matters that are material in relation to, as well as general approach to measures to provide and (or) enable remedy for human rights impacts"
6,S3-1,Description of how policies are aligned with relevant internationally recognised instruments
5,S3-1,"Disclosure of extent to which cases of non-respect of UN Guiding Principles on Business and Human Rights, ILO Declaration on Fundamental Principles and Rights at Work or OECD Guidelines for Multinational Enterprises that involve affected communities have been reported in own operations or in upstream and downstream value chain"
6,S3-1,"Disclosure of nature of cases of non-respect of UN Guiding Principles on Business and Human Rights, ILO Declaration on Fundamental Principles and Rights at Work or OECD Guidelines for Multinational Enterprises"
5,S3-1,Disclosure of explanations for significant changes to policies adopted during reporting year
4,S3-1,Description of key contents of policy
5,S3-1,Description of policy provisions for preventing and addressing impacts on indigenous peoples
4,S3-1,Description of scope of policy or of its exclusions
4,S3-1,Description of most senior level in organisation that is accountable for implementation of policy
4,S3-1,Disclosure of third-party standards or initiatives that are respected through implementation of policy
4,S3-1,Description of consideration given to interests of key stakeholders in setting policy
5,S3-1,Explanation of how policy is made available to potentially affected stakeholders and stakeholders who need to help implement it
4,S3-1,Disclosure of aspects of policy that satisfy requirements of disclosure of policies related to own workforce / value chain workers / affected communities / consumers and end-users
4,S3-1,Disclosure of communication tools and channels aimed at ensuring that policy is accessible and that different audiences understand its implications
4,S3-2,Disclosure of general processes for engaging with people in own workforce / value chain workers / affected communities / consumers and end-users and their representatives about actual and potential impacts
6,S3-2,Disclosure of how perspectives of own workforce / value chain workers / affected communities / consumers and end-users inform decisions or activities aimed at managing actual and potential impacts
5,S3-2,"Disclosure of stage(s) at which engagement occurs, type of engagement and frequency of engagement"
5,S3-2,Disclosure of function and most senior role within undertaking that has operational responsibility for ensuring that engagement happens and that results inform undertaking's approach
5,S3-2,Disclosure of how effectiveness of engagement with own workforce / value chain workers / affected communities / consumers and end-users is assessed
5,S3-2,Disclosure of steps taken to gain insight into perspectives of affected communities that may be particularly vulnerable to impacts and (or) marginalised and into perspective of specific groups within affected communities
6,S3-2,"Disclosure of how respect for indigenous peoples particular rights in stakeholder engagement approach is taken into account and ensured with regard to their cultural, intellectual, religious and spiritual property"
6,S3-2,Disclosure of how respect for indigenous peoples particular rights in stakeholder engagement approach is taken into account and ensured with regard to activities affecting their lands and territories
6,S3-2,Disclosure of how respect for indigenous peoples particular rights in stakeholder engagement approach is taken into account and ensured with regard to legislative or administrative measures that affect them
6,S3-2,Disclosure of how indigenous peoples have been consulted on mode and parameters of engagement
6,S3-2,Disclosure of timeframe for adoption of general process to engage with own workforce / value chain workers / affected communities / consumers and end-users
4,S3-3,"Disclosure of processes in place to provide for or cooperate in remediation of negative impacts on people in own workforce / value chain workers / affected communities / consumers and end-users that undertaking is connected with, as well as channels available to raise concerns and have them addressed"
5,S3-3,Disclosure of general approach to and processes for providing or contributing to remedy where undertaking has caused or contributed to material negative impact on people in own workforce / value chain workers / affected communities / consumers and end-users
7,S3-3,Disclosure of how undertaking assesses that remedy provided for material negative impact on people in own workforce / value chain workers / affected communities / consumers and end-users is effective
5,S3-3,Disclosure of specific channels in place for own workforce / value chain workers / affected communities / consumers and end-users to raise concerns or needs directly with undertaking and have them addressed
7,S3-3,Disclosure of how affected communities / consumers and end-users that may be affected are able to access channels at level of undertaking they are affected by
5,S3-3,Disclosure of processes through which undertaking supports availability of channels by its business relationships
5,S3-3,"Disclosure of how issues raised and addressed are tracked and monitored and how effectiveness of channels is ensured, including through involvement of stakeholders who are intended users"
6,S3-3,Disclosure of how undertaking assesses that people in own workforce / value chain workers / affected communities / consumers and end-users are aware of and trust structures or processes as way to raise their concerns or needs and have them addressed
5,S3-3,Disclosure of timeframe for channel for raising concerns to be in place
4,S3-4,"Disclosure of how action is taken to address material negative and positive impacts, and to manage material risks and pursue material opportunities related to own workforce / value chain workers / affected communities / consumers and end-users, and effectiveness of those actions"
6,S3-4,"Description of actions taken, planned or underway to prevent or mitigate material negative impacts on own workforce / value chain workers / affected communities"
8,S3-4,Disclosure of how undertaking seeks to use leverage in business relationships to manage material negative impacts affecting own workforce / value chain workers / affected communities / consumers and end-users
7,S3-4,Disclosure of how participation in industry or multi-stakeholder initiative and undertaking's own involvement is aiming to address material impacts
6,S3-4,Description of additional actions or initiatives with primary purpose of delivering positive impacts for own workforce / value chain workers / affected communities
8,S3-4,Disclosure of how value chain workers / affected communities / consumers and end-users and legitimate representatives or their credible proxies play role in decisions regarding design and implementation of programmes or processes
7,S3-4,Disclosure of intended or achieved positive outcomes of programmes or processes for people in own workforce / value chain workers / affected communities / consumers and end-users
7,S3-4,Explanation of approximate scope of affected communities covered by social investment or development programmes and rationale for why selected communities were chosen for given social investment or development programme's implementation
6,S3-4,Description of how effectiveness of actions and initiatives in delivering outcomes for own workforce / value chain workers / affected communities / consumers and end-users is tracked and assessed
6,S3-4,Description of processes through which undertaking identifies what action is needed and appropriate in response to particular actual or potential negative impact on own workforce / value chain workers / affected communities / consumers and end-users
6,S3-4,Description of approach to taking action in relation to specific material negative impacts on value chain workers / affected communities / consumers and end-users
6,S3-4,Description of how it is ensured that processes to provide or enable remedy in event of material negative impacts on value chain workers / affected communities / consumers and end-users are available and effective in their implementation and outcomes
7,S3-4,Disclosure of how action is taken to avoid causing or contributing to material negative impacts on value chain workers / affected communities / consumers and end-users through own practices
6,S3-4,Disclosure of resources allocated to management of material impacts
7,S3-4,Description of internal functions that are involved in managing impacts and types of action taken by internal functions to address negative and advance positive impacts
6,S3-4,Disclosure of general and specific approaches to addressing material negative impacts
6,S3-4,Disclosure of social investment or other development programmes aimed at contributing to additional material positive impacts
6,S3-4,Disclosure of how far undertaking has progressed in efforts during reporting period
6,S3-4,Disclosure of aims for continued improvement
6,S3-4,Description of what action is planned or underway to mitigate material risks arising from impacts and dependencies on own workforce / value chain workers / affected communities / consumers and end-users and how effectiveness is tracked
6,S3-4,Description of what action is planned or underway to pursue material opportunities in relation to own workforce / value chain workers / affected communities / consumers and end-users
6,S3-4,Disclosure of severe human rights issues and incidents connected to upstream and downstream value chain / affected communities / consumers and end-users that have been reported
4,S3-4,Disclosure of key action
4,S3-4,Disclosure of expected outcomes of key action and how its implementation contributes to achievement of policy objectives and targets
4,S3-4,Description of scope of key action
6,S3-4,Disclosure of how action to provide or enable remedy in relation to actual material impact on own workforce / value chain workers / affected communities / consumers and end-users has been taken
4,S3-4,Disclosure of quantitative and qualitative information regarding progress of actions or action plans disclosed in prior periods
4,S3-4,Disclosure of significant operational expenditures (Opex) and (or) capital expenditures (Capex) required for implementation of action plan
5,S3-4,Description of type of current and future financial and other resources allocated to action plan
5,S3-4,Explanation of how current financial resources relate to most relevant amounts presented in financial statements
4,S3-5,Disclosure of time-bound and outcome-oriented targets
5,S3-5,Disclosure of process for setting time-bound and outcome-oriented targets
7,S3-5,"Disclosure of how value chain workers / affected communities / consumers and end-users, their legitimate representatives or credible proxies were engaged directly in setting targets"
7,S3-5,"Disclosure of how value chain workers / affected communities / consumers and end-users, their legitimate representatives or credible proxies were engaged directly in tracking performance against targets"
7,S3-5,"Disclosure of how value chain workers / affected communities / consumers and end-users, their legitimate representatives or credible proxies were engaged directly in identifying lessons or improvements as result of undertaking's performance"
4,S3-5,Disclosure of measurable outcome-oriented and time-bound target
5,S3-5,Description of scope of target
5,S3-5,Indication of milestones or interim targets
5,S3-5,Description of methodologies and significant assumptions used to define target
6,S3-5,Disclosure of how stakeholders have been involved in target setting
5,S3-5,"Description of any changes in target and corresponding metrics or underlying measurement methodologies, significant assumptions, limitations, sources and adopted processes to collect data"
5,S3-5,Description of performance against disclosed target
5,S3-5,Disclosure of intended outcomes to be achieved in lives of people in own workforce / value chain workers / affected communities / consumers and end-users
5,S3-5,Disclosure of stability of target over time in terms of definitions and methodologies to enable comparability
5,S3-5,Disclosure of standards or commitments on which target is based
6,S3-5,Disclosure of timeframe for setting of measurable outcome-oriented targets
5,S3-5,Description of reasons why there are no plans to set measurable outcome-oriented targets
6,S3-5,"Description of processes through which effectiveness of policies and actions is tracked in relation to material sustainability-related impact, risk and opportunity"
6,S3-5,Description of defined level of ambition to be achieved and of any qualitative or quantitative indicators used to evaluate progress
2,S4.SBM-3,"Disclosure of material impacts, risks and opportunities and how they interact with strategy and business model"
5,S4.SBM-3,Description of material impacts resulting from materiality assessment
7,S4.SBM-3,Disclosure of how actual and potential impacts on own workforce / value chain workers / affected communities / consumers and end-users originate from or are connected to strategy and business models
7,S4.SBM-3,Disclosure of how actual and potential impacts on own workforce / value chain workers / affected communities / consumers and end-users inform and contribute to adapting strategy and business model
7,S4.SBM-3,Description of types of employees and non-employees in own workforce / value chain workers / affected communities / consumers and end-users subject to material impacts
9,S4.SBM-3,"Disclosure of how understanding of how consumers and end-users with particular characteristics, or those using particular products or services may be at greater risk of harm has been developed"
7,S4.SBM-3,Description of activities that result in positive impacts and types of employees and non-employees in own workforce / value chain workers / affected communities / consumers and end-users that are positively affected or could be positively affected
7,S4.SBM-3,Disclosure of specific countries or regions where positive impacts for own workforce / value chain workers / affected communities / consumers and end-users occur
5,S4.SBM-3,Description of material risks and (or) opportunities resulting from materiality assessment
6,S4.SBM-3,Disclosure of relationship between material risks and opportunities arising from impacts and dependencies on own workforce / value chain workers / affected communities / consumers and end-users and strategy and business model
4,S4-1,"Disclosure of policies adopted to manage material impacts on own workforce / value chain workers / affected communities / consumers and end-users, as well as associated material risks and opportunities"
5,S4-1,Description of relevant human rights policy commitments
6,S4-1,"Description of processes and mechanisms to monitor compliance with UN Guiding Principles on Business and Human Rights, ILO Declaration on Fundamental Principles and Rights at Work and OECD Guidelines for Multinational Enterprises"
6,S4-1,"Disclosure of matters that are material in relation to, as well as general approach to respect for human rights of consumers and end-users"
6,S4-1,"Disclosure of matters that are material in relation to, as well as general approach to engagement with people in own workforce / value chain workers / affected communities / consumers and end-users"
6,S4-1,"Disclosure of matters that are material in relation to, as well as general approach to measures to provide and (or) enable remedy for human rights impacts"
6,S4-1,Description of how policies are aligned with relevant internationally recognised instruments
5,S4-1,"Disclosure of extent to which cases of non-respect of UN Guiding Principles on Business and Human Rights, ILO Declaration on Fundamental Principles and Rights at Work or OECD Guidelines for Multinational Enterprises that involve consumers and end-users have been reported in downstream value chain"
6,S4-1,"Disclosure of nature of cases of non-respect of UN Guiding Principles on Business and Human Rights, ILO Declaration on Fundamental Principles and Rights at Work or OECD Guidelines for Multinational Enterprises"
5,S4-1,Disclosure of explanations for significant changes to policies adopted during reporting year
4,S4-1,Description of key contents of policy
4,S4-1,Description of scope of policy or of its exclusions
4,S4-1,Description of most senior level in organisation that is accountable for implementation of policy
4,S4-1,Disclosure of third-party standards or initiatives that are respected through implementation of policy
4,S4-1,Description of consideration given to interests of key stakeholders in setting policy
5,S4-1,Explanation of how policy is made available to potentially affected stakeholders and stakeholders who need to help implement it
4,S4-1,Disclosure of aspects of policy that satisfy requirements of disclosure of policies related to own workforce / value chain workers / affected communities / consumers and end-users
4,S4-1,Disclosure of communication tools and channels aimed at ensuring that policy is accessible and that different audiences understand its implications
4,S4-2,Disclosure of general processes for engaging with people in own workforce / value chain workers / affected communities / consumers and end-users and their representatives about actual and potential impacts
6,S4-2,Disclosure of how perspectives of own workforce / value chain workers / affected communities / consumers and end-users inform decisions or activities aimed at managing actual and potential impacts
5,S4-2,"Disclosure of stage(s) at which engagement occurs, type of engagement and frequency of engagement"
5,S4-2,Disclosure of function and most senior role within undertaking that has operational responsibility for ensuring that engagement happens and that results inform undertaking's approach
5,S4-2,Disclosure of how effectiveness of engagement with own workforce / value chain workers / affected communities / consumers and end-users is assessed
5,S4-2,Disclosure of steps taken to gain insight into perspectives of people in own workforce / value chain workers / consumers and end-users that may be particularly vulnerable to impacts and (or) marginalised
6,S4-2,Disclosure of timeframe for adoption of general process to engage with own workforce / value chain workers / affected communities / consumers and end-users
4,S4-3,"Disclosure of processes in place to provide for or cooperate in remediation of negative impacts on people in own workforce / value chain workers / affected communities / consumers and end-users that undertaking is connected with, as well as channels available to raise concerns and have them addressed"
5,S4-3,Disclosure of general approach to and processes for providing or contributing to remedy where undertaking has caused or contributed to material negative impact on people in own workforce / value chain workers / affected communities / consumers and end-users
7,S4-3,Disclosure of how undertaking assesses that remedy provided for material negative impact on people in own workforce / value chain workers / affected communities / consumers and end-users is effective
5,S4-3,Disclosure of specific channels in place for own workforce / value chain workers / affected communities / consumers and end-users to raise concerns or needs directly with undertaking and have them addressed
7,S4-3,Disclosure of how affected communities / consumers and end-users that may be affected are able to access channels at level of undertaking they are affected by
5,S4-3,Disclosure of processes through which undertaking supports or requires availability of channels by its business relationships
5,S4-3,"Disclosure of how issues raised and addressed are tracked and monitored and how effectiveness of channels is ensured, including through involvement of stakeholders who are intended users"
6,S4-3,Disclosure of how undertaking assesses that people in own workforce / value chain workers / affected communities / consumers and end-users are aware of and trust structures or processes as way to raise their concerns or needs and have them addressed
5,S4-3,Disclosure of timeframe for channel for raising concerns to be in place
4,S4-4,"Disclosure of how action is taken to address material negative and positive impacts, and to manage material risks and pursue material opportunities related to own workforce / value chain workers / affected communities / consumers and end-users, and effectiveness of those actions"
6,S4-4,"Description of actions taken, planned or underway to prevent, mitigate or remediate material negative impacts on consumers and end-users"
8,S4-4,Disclosure of how undertaking seeks to use leverage in business relationships to manage material negative impacts affecting own workforce / value chain workers / affected communities / consumers and end-users
7,S4-4,Disclosure of how participation in industry or multi-stakeholder initiative and undertaking's own involvement is aiming to address material impacts
6,S4-4,Description of additional actions or initiatives with primary purpose of positively contributing to improved social outcomes for consumers and end-users
8,S4-4,Disclosure of how value chain workers / affected communities / consumers and end-users and legitimate representatives or their credible proxies play role in decisions regarding design and implementation of programmes or processes
7,S4-4,Disclosure of intended or achieved positive outcomes of programmes or processes for people in own workforce / value chain workers / affected communities / consumers and end-users
6,S4-4,Description of how effectiveness of actions and initiatives in delivering outcomes for own workforce / value chain workers / affected communities / consumers and end-users is tracked and assessed
6,S4-4,Description of processes through which undertaking identifies what action is needed and appropriate in response to particular actual or potential negative impact on own workforce / value chain workers / affected communities / consumers and end-users
6,S4-4,Description of approach to taking action in relation to specific material negative impacts on value chain workers / affected communities / consumers and end-users
6,S4-4,Description of how it is ensured that processes to provide or enable remedy in event of material negative impacts on value chain workers / affected communities / consumers and end-users are available and effective in their implementation and outcomes
7,S4-4,Disclosure of how action is taken to avoid causing or contributing to material negative impacts on value chain workers / affected communities / consumers and end-users through own practices
6,S4-4,Disclosure of resources allocated to management of material impacts
7,S4-4,Description of internal functions that are involved in managing impacts and types of action taken by internal functions to address negative and advance positive impacts
6,S4-4,Disclosure of general and specific approaches to addressing material negative impacts
6,S4-4,Disclosure of initiatives aimed at contributing to additional material positive impacts
6,S4-4,Disclosure of how far undertaking has progressed in efforts during reporting period
6,S4-4,Disclosure of aims for continued improvement
6,S4-4,Description of what action is planned or underway to mitigate material risks arising from impacts and dependencies on own workforce / value chain workers / affected communities / consumers and end-users and how effectiveness is tracked
6,S4-4,Description of what action is planned or underway to pursue material opportunities in relation to own workforce / value chain workers / affected communities / consumers and end-users
6,S4-4,Disclosure of severe human rights issues and incidents connected to upstream and downstream value chain / affected communities / consumers and end-users that have been reported
4,S4-4,Disclosure of key action
4,S4-4,Disclosure of expected outcomes of key action and how its implementation contributes to achievement of policy objectives and targets
4,S4-4,Description of scope of key action
6,S4-4,Disclosure of how action to provide or enable remedy in relation to actual material impact on own workforce / value chain workers / affected communities / consumers and end-users has been taken
4,S4-4,Disclosure of quantitative and qualitative information regarding progress of actions or action plans disclosed in prior periods
4,S4-4,Disclosure of significant operational expenditures (Opex) and (or) capital expenditures (Capex) required for implementation of action plan
5,S4-4,Description of type of current and future financial and other resources allocated to action plan
5,S4-4,Explanation of how current financial resources relate to most relevant amounts presented in financial statements
4,S4-5,Disclosure of time-bound and outcome-oriented targets
5,S4-5,Disclosure of process for setting time-bound and outcome-oriented targets
7,S4-5,"Disclosure of how value chain workers / affected communities / consumers and end-users, their legitimate representatives or credible proxies were engaged directly in setting targets"
7,S4-5,"Disclosure of how value chain workers / affected communities / consumers and end-users, their legitimate representatives or credible proxies were engaged directly in tracking performance against targets"
7,S4-5,"Disclosure of how value chain workers / affected communities / consumers and end-users, their legitimate representatives or credible proxies were engaged directly in identifying lessons or improvements as result of undertaking's performance"
4,S4-5,Disclosure of measurable outcome-oriented and time-bound target
5,S4-5,Description of scope of target
5,S4-5,Indication of milestones or interim targets
5,S4-5,Description of methodologies and significant assumptions used to define target
6,S4-5,Disclosure of how stakeholders have been involved in target setting
5,S4-5,"Description of any changes in target and corresponding metrics or underlying measurement methodologies, significant assumptions, limitations, sources and adopted processes to collect data"
5,S4-5,Description of performance against disclosed target
5,S4-5,Disclosure of intended outcomes to be achieved in lives of people in own workforce / value chain workers / affected communities / consumers and end-users
5,S4-5,Disclosure of stability of target over time in terms of definitions and methodologies to enable comparability
5,S4-5,Disclosure of standards or commitments on which target is based
6,S4-5,Disclosure of timeframe for setting of measurable outcome-oriented targets
5,S4-5,Description of reasons why there are no plans to set measurable outcome-oriented targets
6,S4-5,"Description of processes through which effectiveness of policies and actions is tracked in relation to material sustainability-related impact, risk and opportunity"
6,S4-5,Description of defined level of ambition to be achieved and of any qualitative or quantitative indicators used to evaluate progress
1,G1.GOV-1,"Information about roles and responsibilities of administrative, management and supervisory bodies"
2,G1.GOV-1,"Disclosure of role of administrative, management and supervisory bodies related to business conduct"
2,G1.GOV-1,"Disclosure of expertise of administrative, management and supervisory bodies on business conduct matters"
1,G1.IRO-1,"Disclosure of process to identify impacts, risks and opportunities and to assess which ones are material"
2,G1.IRO-1,"Disclosure of all relevant criteria used in process to identify material impacts, risks and opportunities in relation to business conduct matters"
1,G1-1,Disclosure of policies with respect to business conduct matters and how corporate culture is fostered
2,G1-1,"Disclosure of how corporate culture is established, developed, promoted and evaluated"
2,G1-1,"Description of mechanisms for identifying, reporting and investigating concerns about unlawful behaviour or behaviour in contradiction of code of conduct or similar internal rules"
2,G1-1,Timetable for implementation of policies on anti-corruption or anti-bribery consistent with United Nations Convention against Corruption
2,G1-1,Disclosure of how whistleblowers are protected
3,G1-1,Information about establishment of internal whistleblower reporting channels
3,G1-1,Information about measures to protect against retaliation to own workers who are whistleblowers in accordance with applicable law transposing Directive (EU) 2019/1937
4,G1-1,Timetable for implementation of policies on protection of whistle-blowers
2,G1-1,Information about policy for training within organisation on business conduct
2,G1-1,Diclosure of functions within undertaking that are most at risk in respect of corruption and bribery
1,G1-2,Disclosure of management of relationships with suppliers and impacts on supply chain
2,G1-2,Description of policy to prevent late payments
2,G1-2,Information about approach to relationships with suppliers
3,G1-2,Disclosure of how social and environmental criteria are taken into account for selection of suppliers
1,G1-3,"Disclosure of system to prevent and detect, investigate, and respond to allegations or incidents relating to corruption and bribery"
2,G1-3,"Description of procedures in place to prevent, detect, and address allegations or incidents of corruption and bribery"
2,G1-3,"Information about process to report outcomes to administrative, management and supervisory bodies"
3,G1-3,"Disclosure of plans to adopt procedures to prevent, detect, and address allegations or incidents of corruption and bribery"
2,G1-3,Information about how policies are communicated to those for whom they are relevant (prevention and detection of corruption and bribery)
2,G1-3,"Information about nature, scope and depth of anti-corruption and anti-bribery training programmes offered or required"
2,G1-3,"Information about extent to which training is given to members of administrative, management and supervisory bodies"
5,G1-3,Disclosure of how often anti-corruption and anti-bribery training is required
2,G1-4,Disclosure of incidents of corruption or bribery
5,G1-4,Disclosure of any actions taken to address breaches in procedures and standards of anti-corruption and anti-bribery
5,G1-4,Disclosure of nature of confirmed incidents of corruption or bribery
5,G1-4,Disclosure of details of public legal cases regarding corruption or bribery brought against undertaking and own workers and outcomes of such cases
2,G1-5,"Disclosure of activities and commitments related to exerting political influence, including lobbying activities related to material impacts, risks and opportunities"
5,G1-5,"Information about representative(s) responsible in administrative, management and supervisory bodies for oversight of activities related to exerting political influence and lobbying"
5,G1-5,Information about financial or in-kind political contributions
6,G1-5,Disclosure of how monetary value of in-kind contributions is estimated
5,G1-5,Disclosure of main topics covered by lobbying activities and undertaking's main positions on these topics
5,G1-5,"Information about appointment of any members of administrative, management and supervisory bodies who held comparable position in public administration in two years preceding such appointment"
2,G1-6,"Disclosure of payment practices, especially with respect to late payments to small and medium enterprises (SMEs)"
5,G1-6,Description of undertaking's standard payment terms
5,G1-6,Disclosure of contextual information regarding payment practices
5,G1-6,Description of undertaking's standard payment terms
